date,details_link,hood,lat,lon,misc,price,title
Jun  3,https://newyork.craigslist.org/brk/reb/d/brooklyn-bank-reo-sale-cash-offers/7135112500.html, (east new york),,,,$749900,bank reo sale! cash offers!
Jun  3,https://newyork.craigslist.org/mnh/reb/d/new-york-great-collection-of-affordable/7135112502.html, (Murray Hill),,,,$295000,A great collection of affordable studios in Tudor City!
Jun  3,https://newyork.craigslist.org/brk/reb/d/brooklyn-apartment-for-rent-no-fee/7135112396.html, (East Flatbush),,,,$2000,Apartment for rent NO FEE
Jun  3,https://newyork.craigslist.org/brk/reb/d/brooklyn-rent-long-term-or-purchase/7132839973.html, (Park Slope),,,,$15000,RENT long term OR Purchase- YOUR CALL- You Win either way!
Jun  3,https://newyork.craigslist.org/brk/reb/d/brooklyn-brick-2-family-with-parking/7128502864.html, (Canarsie -walk to subway),,,,$749000,Brick 2 family with parking
Jun  3,https://newyork.craigslist.org/brk/reb/d/brooklyn-renovated-2-family-in-east-ny/7135112120.html, (walk to J & C subway),,,,$749000,Renovated 2 family in East NY /Cypress Hills
Jun  3,https://newyork.craigslist.org/que/reb/d/jamaica-renovated-2-family-3-2-basement/7135111525.html," (Nice block, close to transportation)",,,,$849000,Renovated 2 family 3/2/basement +Parking
Jun  3,https://newyork.craigslist.org/brk/reb/d/brooklyn-bank-reo-sale-cash-offers/7135111420.html, (stuyvesant heights),,,,$1899000,bank reo sale! cash offers!
Jun  3,https://newyork.craigslist.org/brx/reb/d/bronx-2-bedroom-1-bathroom/7135111384.html,,,,,$2300,2 Bedroom 1 Bathroom
Jun  3,https://newyork.craigslist.org/stn/reb/d/staten-island-3-bed-25-bath-semi/7135111349.html, (Midway Beach),,,,$630000,3 bed 2.5 bath semi-attached house for sale
Jun  3,https://newyork.craigslist.org/brk/reb/d/brooklyn-renovated-2-family-3-2/7135111155.html, (Nice block in Queens),,,,$849000,Renovated 2 family 3/2/basement +Parking
Jun  3,https://newyork.craigslist.org/que/reb/d/bronx-beautiful-corner-property-semi/7135111111.html, (St. Albans),,,,$599000,Beautiful Corner Property Semi Attached 1 Family Brick
Jun  3,https://newyork.craigslist.org/brk/reo/d/brooklyn-beautiful-1-bed-in-parkslope/7133891483.html, (Parkslope),,,,$2000,Beautiful 1 Bed in ParkSlope!! $2000!!
Jun  3,https://newyork.craigslist.org/brx/reo/d/astoria-2-bedroom-with-backyard-no-fee/7128010325.html, (Astoria),,,,$2750,2 Bedroom with Backyard! No fee! Tons of sunlight and very close to city
Jun  3,https://newyork.craigslist.org/brk/reo/d/brooklyn-apartment-for-rent-no-fee/7135109885.html, (E Flatbush),,,,$2000,Apartment for rent NO FEE
Jun  3,https://newyork.craigslist.org/lgi/reb/d/riverhead-extended-large-ranch-7-brms-4/7135109720.html, (FLANDERS/ LONG ISLAND),,,,$599000,EXTENDED LARGE RANCH-7 BRMS-4 BATHS-2 KIT-FIN BASM-CENT AIR-LOW TAXES!
Jun  3,https://newyork.craigslist.org/mnh/reo/d/alton-acres-great-price-land-in-nh/7135109442.html, (Gilmanton NH),,,,$24900,1.8 +/- acres (GREAT PRICE) Land in NH LAKE'S REGION
Jun  3,https://newyork.craigslist.org/mnh/reb/d/dubuque-pre-development-offering/7120686456.html, (East Dubuque),,,,$599000,Pre Development Offering Mississippi River View Wooded Estate Property
Jun  3,https://newyork.craigslist.org/mnh/reb/d/la-crescent-the-perfect-farm-minnesota/7123407523.html,,,,,$2000000,The Perfect Farm Minnesota
Jun  3,https://newyork.craigslist.org/lgi/reb/d/melville-exp-ranch-mastr-suite-large/7135108136.html, (SYOSSET/LONG ISLAND),,,,$629000,EXP RANCH-MASTR SUITE-LARGE YARD- NEEDS TLC
Jun  3,https://newyork.craigslist.org/jsy/reb/d/hoboken-awesome-3br-2b-duplex-plus-2/7121112905.html, (Hoboken),,,,$3800,"Awesome 3br/2b duplex, plus 2 den, yard, w/d, dw, parking, storage"
Jun  3,https://newyork.craigslist.org/lgi/reb/d/carle-place-5-brm-mid-block-cape-col/7135107894.html, (CARLE PLACE),,,,$649000,5 BRM-MID BLOCK CAPE COL-EIK W/GRANITE TOPS-CENT AIR-GAR-WALK TO ALL!!
Jun  3,https://newyork.craigslist.org/jsy/reb/d/hoboken-downtown-park-ave-1br-office/7121111419.html, (Hoboken),,,,$2100,"Downtown Park Ave 1br + Office, EIK, Ht/htw included, Parking avail"
Jun  3,https://newyork.craigslist.org/que/reb/d/queens-village-detached-huge-1-family/7135106942.html, (Queens Village),,,,$659000,"Detached Huge 1 Family, Totally Renovated, Great Location"
Jun  3,https://newyork.craigslist.org/jsy/reo/d/fantasea-resort-flagship-suites/7125120099.html, (STATEN ISLAND),,,,$0,FANTASEA RESORT (FLAGSHIP SUITES) TIMESHARE FOR SALE BY OWNER***
Jun  3,https://newyork.craigslist.org/mnh/reb/d/bokeelia-florida-island-home-best/7132061231.html, ((CAPTAINS COVE -BOKEELIA)),,,,$299000,Florida Island Home Best Boating & Fishing in the World
Jun  3,https://newyork.craigslist.org/lgi/reb/d/oyster-bay-old-world-victorian-gas-heat/7135105428.html, (OYSTER BAY/ LONG ISLAND),,,,$899000,OLD WORLD VICTORIAN-GAS HEAT-CENT AIR-WD FLRS-FIN BASEMENT-LOW TAXES!!
Jun  3,https://newyork.craigslist.org/lgi/reb/d/huntington-custom-built-post-modern/7135105193.html, (Huntington),,,,$1399000,Custom Built Post Modern Colonial w/Too many Beautiful Extras to list!
Jun  3,https://newyork.craigslist.org/lgi/reb/d/wantagh-new-construction-smart-house/7135104811.html, (WANTAGH/ LONG ISLAND),,,,$1130000,NEW CONSTRUCTION SMART HOUSE-GAS-CENT AIR-HUGE BASEM-LOW TAXES & MORE!
Jun  3,https://newyork.craigslist.org/lgi/reb/d/greenvale-east-hill-country-estates/7135104462.html, (EAST HILLS/ROSLYN/LONG ISLAND),,,,$1195000,EAST HILL COUNTRY ESTATES-HARDWD FLRS-2 CAR!
Jun  3,https://newyork.craigslist.org/mnh/reo/d/new-york-bright-and-sunny-studio-94th-3/7135104051.html, (Upper East Side),,,,$1800,BRIGHT AND SUNNY STUDIO @ 94th & 3 Ave.
Jun  3,https://newyork.craigslist.org/mnh/reo/d/new-york-if-you-looking-for-hotels/7127544962.html, (New York City),,,,$0,"IF YOU LOOKING FOR HOTELS, CASINOS LARGE APARTMENT BUILDINGS, CALL ME"
Jun  3,https://newyork.craigslist.org/que/reo/d/jamaica-lovely-1br-garden-apt-steps-to/7135103666.html, (kew garden hills),,,,$1750,LOVELY 1BR GARDEN APT - STEPS TO SHOPPING & TRANSPORTATION
Jun  3,https://newyork.craigslist.org/wch/reo/d/yonkers-first-class-restaurant-space/7135103136.html," (Westchester, NY)",,,,$0,First class restaurant space for rent on Nepperhan Avenue
Jun  3,https://newyork.craigslist.org/jsy/reo/d/west-new-york-bed-768ft-bargain/7129998039.html, (North Bergen),,,,$1700,$1700 / 1Bed- 768ft - $$$ Bargain Furnished 1 Bed Apt. 20min to NYC $
Jun  3,https://newyork.craigslist.org/fct/reo/d/south-china-maine-2-camps-compound-on/7133649121.html, (China Maine),,,,$0,Maine 2 Camps Compound on China Lake Entire Point
Jun  3,https://newyork.craigslist.org/brk/reb/d/brooklyn-374-jefferson-avenue/7135083098.html, (Brooklyn),,,,$0,374 Jefferson Avenue
Jun  3,https://newyork.craigslist.org/brk/reo/d/frankfort-upstate-new-york-herkimer/7135102168.html, (FRANKFORT),,,,$199000,UPSTATE NEW YORK HERKIMER COUNTY
Jun  3,https://newyork.craigslist.org/que/reb/d/jamaica-great-opplge-2br-1bath-apt-near/7135101710.html, (BRIARWOOD),,,,$2395,GREAT OPP:LGE 2BR 1BATH APT-NEAR SUBWAY EXPRESS/LIRR
Jun  3,https://newyork.craigslist.org/que/reb/d/springfield-gardens-detached-huge-2/7135101632.html, (Springfield Gardens),,,,$979000,Detached Huge 2 Family House
Jun  3,https://newyork.craigslist.org/jsy/reb/d/jersey-city-rental-265-custer-ave-no/7135101450.html, (Jersey City),,,,$2650,"Rental: 265 Custer Ave., No 114 TOWNHOUSE 3BR/2.5Baths"
Jun  3,https://newyork.craigslist.org/wch/reo/d/yonkers-one-bedroom/7135101343.html, (Yonkers),,,,$1350,One bedroom
Jun  3,https://newyork.craigslist.org/lgi/reo/d/riverhead-lovely-2013-home-in/7135101055.html, (Riverhead),,,,$42000,Lovely 2013 Home in Riverwoods Community
Jun  3,https://newyork.craigslist.org/que/reb/d/rosedale-hot-deal-great-investment/7135099645.html, (JAMAICA NY),,,,$1150000,**HOT DEAL.. GREAT INVESTMENT PROPERTY**
Jun  3,https://newyork.craigslist.org/mnh/reo/d/lakefront-home-lake-wallenpaupack/7131652904.html," (LAKE WALLENPAUPACK - HAWLEY, PA)",,,,$0,LAKEFRONT HOME- LAKE WALLENPAUPACK
Jun  3,https://newyork.craigslist.org/brk/reb/d/far-rockaway-investors-pinson-st-far/7133907030.html," (Far Rockaway, NY)",,,,$500000,"INVESTORS!!! Pinson St - Far Rockaway, NY 11691 - $500,000 - ARV $710K"
Jun  3,https://newyork.craigslist.org/mnh/reo/d/lakefront-home-lake-wallenpaupack/7131682256.html," (LAKE WALLENPAUPACK - HAWLEY, PA)",,,,$0,LAKEFRONT HOME- LAKE WALLENPAUPACK
Jun  3,https://newyork.craigslist.org/que/reb/d/jamaica-hot-deal-great-investment/7135099075.html, (JAMAICA),,,,$1799999,**HOT DEAL.. GREAT INVESTMENT PROPERTY**
Jun  3,https://newyork.craigslist.org/mnh/reb/d/white-mills-1868-farmhouse-on-674-ac/7131682439.html," (TOWPATH RD. HAWLEY, PA.)",,,,$179000,1868 FARMHOUSE ON 6.74 AC
Jun  3,https://newyork.craigslist.org/que/reb/d/jamaica-bank-reo-sale-cash-offers/7135098917.html, (jamaica),,,,$426900,bank reo sale! cash offers!
Jun  3,https://newyork.craigslist.org/que/reo/d/jamaica-investors-street-jamaica-legal/7129402877.html," (Jamaica, Queens)",,,,$480000,INVESTORS!!! 115-20 158 street (Jamaica) Legal 2 family - $487K
